id,key,tipo,reg,control,cultivar,ano,quantidade
50,25-50,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Preparado_líquido,Preparado líquido para refresco,1972,0
51,25-51,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Refrigerante,Refrigerante +50% suco,1972,0
52,25-52,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Sangria,Sangria,1972,0
53,25-53,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinagre_balsamico,Vinagre balsamico,1972,0
54,25-54,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinagre_duplo,Vinagre duplo,1972,0
55,25-55,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinagre_simples,Vinagre simples,1972,1524908
56,25-56,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_acetificado,Vinho acetificado,1972,0
57,25-57,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_base,Vinho base para espumantes,1972,0
58,25-58,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_composto,Vinho composto,1972,3921573
59,25-59,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_licoroso,Vinho licoroso,1972,2407816
60,25-60,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_leve,Vinho leve,1972,0
61,25-61,OUTROS PRODUTOS COMERCIALIZADOS,ANALITICO,ou_Vinho_gaseificado,Vinho gaseificado,1972,0
1,1-1,VINHO DE MESA,SINTETICO,VINHO DE MESA,VINHO DE MESA,1973,116617910
2,1-2,VINHO DE MESA,ANALITICO,vm_Tinto,Tinto,1973,98196747
3,1-3,VINHO DE MESA,ANALITICO,vm_Rosado,Rosado,1973,8425617
4,1-4,VINHO DE MESA,ANALITICO,vm_Branco,Branco,1973,9995546
5,5-5,VINHO  FINO DE MESA,SINTETICO,VINHO  FINO DE MESA,VINHO  FINO DE MESA,1973,7202830
6,5-6,VINHO  FINO DE MESA,ANALITICO,vm_Tinto,Tinto,1973,783508
